,Russian name,Cluster
0,Бульвар Рокоссовского,3
1,Черкизовская,3
2,Преображенская площадь,2
3,Сокольники,2
4,Красносельская,1
5,Комсомольская,1
6,Красные ворота,1
7,Чистые пруды,0
8,Лубянка,0
9,Охотный ряд,0
10,Библиотека имени Ленина,0
11,Кропоткинская,1
12,Парк культуры,1
13,Фрунзенская,1
14,Спортивная,2
15,Воробьёвы горы,3
16,Университет,2
17,Проспект Вернадского,2
18,Юго-Западная,2
19,Тропарёво,3
20,Румянцево,3
21,Саларьево,3
22,Ховрино,2
23,Беломорская,2
24,Речной вокзал,1
25,Водный стадион,2
26,Войковская,1
27,Сокол,0
28,Аэропорт,0
29,Динамо,0
30,Белорусская,1
31,Маяковская,1
32,Тверская,2
33,Театральная,3
34,Новокузнецкая,2
35,Павелецкая,3
36,Автозаводская,3
37,Технопарк,3
38,Коломенская,3
39,Каширская,2
40,Кантемировская,2
41,Царицыно,3
42,Орехово,3
43,Домодедовская,2
44,Красногвардейская,3
45,Алма-Атинская,3
46,Пятницкое шоссе,2
47,Митино,2
48,Волоколамская,2
49,Мякинино,2
50,Строгино,2
51,Крылатское,2
52,Молодёжная,1
53,Кунцевская,1
54,Славянский бульвар,0
55,Парк Победы,0
56,Киевская,0
57,Смоленская,1
58,Арбатская,2
59,Площадь Революции,2
60,Курская,3
61,Бауманская,3
62,Электрозаводская,2
63,Семёновская,2
64,Партизанская,2
65,Измайловская,3
66,Первомайская,3
67,Щёлковская,2
69,Пионерская,2
70,Филёвский парк,2
71,Багратионовская,1
72,Фили,1
73,Кутузовская,1
74,Студенческая,1
75,Международная,0
76,Выставочная,0
80,Александровский сад,1
82,Краснопресненская,1
84,Новослободская,1
85,Проспект Мира,1
88,Таганская,1
90,Добрынинская,2
91,Октябрьская,2
93,Медведково,2
94,Бабушкинская,2
95,Свиблово,2
96,Ботанический сад,1
97,ВДНХ,1
98,Алексеевская,0
99,Рижская,0
101,Сухаревская,1
102,Тургеневская,1
103,Китай-город,2
104,Третьяковская,2
106,Шаболовская,2
107,Ленинский проспект,2
108,Академическая,2
109,Профсоюзная,2
110,Новые Черёмушки,3
111,Калужская,2
112,Беляево,3
113,Коньково,2
114,Тёплый Стан,2
115,Ясенево,3
116,Новоясеневская,3
117,Планерная,2
118,Сходненская,2
119,Тушинская,2
120,Спартак,2
121,Щукинская,1
122,Октябрьское поле,1
123,Полежаевская,0
124,Беговая,0
125,Улица 1905 года,0
126,Баррикадная,1
127,Пушкинская,1
128,Кузнецкий мост,2
131,Пролетарская,3
132,Волгоградский проспект,2
133,Текстильщики,3
134,Кузьминки,2
135,Рязанский проспект,3
136,Выхино,3
137,Лермонтовский проспект,3
138,Жулебино,3
139,Котельники,3
140,Рассказовка,3
141,Новопеределкино,3
142,Боровское Шоссе,2
143,Солнцево,2
144,Говорово,2
145,Озёрная,3
146,Мичуринский Проспект,2
147,Раменки,1
148,Ломоносовский проспект,1
149,Минская,2
151,Деловой центр,3
153,Марксистская,2
154,Площадь Ильича,2
155,Авиамоторная,2
156,Шоссе Энтузиастов,3
157,Перово,2
158,Новогиреево,3
159,Новокосино,3
160,Алтуфьево,2
161,Бибирево,2
162,Отрадное,1
163,Владыкино,1
164,Петровско-Разумовская,0
165,Тимирязевская,0
166,Дмитровская,0
167,Савёловская,1
168,Менделеевская,1
169,Цветной бульвар,2
170,Чеховская,3
171,Боровицкая,3
172,Полянка,2
173,Серпуховская,2
174,Тульская,2
175,Нагатинская,2
176,Нагорная,2
177,Нахимовский проспект,2
178,Севастопольская,3
179,Чертановская,2
180,Южная,3
181,Пражская,3
182,Улица академика Янгеля,3
183,Аннино,3
184,Бульвар Дмитрия Донского,2
185,Селигерская,3
186,Верхние Лихоборы,2
187,Окружная,1
189,Фонвизинская,0
190,Бутырская,0
191,Марьина Роща,2
192,Достоевская,1
193,Трубная,2
194,Сретенский бульвар,3
195,Чкаловская,3
196,Римская,3
197,Крестьянская застава,3
198,Дубровка,2
199,Кожуховская,2
200,Печатники,3
201,Волжская,2
202,Люблино,2
203,Братиславская,1
204,Марьино,3
205,Борисово,2
206,Шипиловская,2
207,Зябликово,2
208,Каховская,1
213,Шелепиха,3
214,Хорошёвская,2
215,ЦСКА,2
216,Петровский парк,2
218,Битцевский парк,3
219,Лесопарковая,3
220,Улица Старокачаловская,3
221,Улица Скобелевская,3
222,Бульвар Адмирала Ушакова,3
223,Улица Горчакова,3
224,Бунинская аллея,3
226,Улица Милашенкова,3
227,Телецентр,3
228,Улица Академика Королёва,3
229,Выставочный центр,3
230,Улица Сергея Эйзенштейна,3
234,Ростокино,3
235,Белокаменная,3
237,Локомотив,2
238,Измайлово,2
239,Соколиная гора,1
241,Андроновка,3
242,Нижегородская,2
243,Новохохловская,2
244,Угрешская,2
247,ЗИЛ,3
248,Крымская,3
249,Площадь Гагарина,3
250,Лужники,3
